,iso3,fneo9,fpost9,fufive9
0,AFG,7.235294117647059,30.294117647058822,18.11764705882353
1,AGO,7.882352941176471,25.529411764705884,20.058823529411764
2,ALB,8.647058823529411,18.11764705882353,13.764705882352942
3,AND,0.0,0.35294117647058826,0.23529411764705882
4,ARE,1.0,9.705882352941176,5.117647058823529
5,ARG,1.7647058823529411,14.352941176470589,7.411764705882353
6,ARM,8.235294117647058,20.823529411764707,14.0
7,ATG,0.7058823529411765,7.764705882352941,3.764705882352941
8,AUS,0.058823529411764705,6.823529411764706,2.9411764705882355
9,AUT,0.058823529411764705,3.764705882352941,1.6470588235294117
10,AZE,5.470588235294118,28.41176470588235,15.941176470588236
11,BDI,7.470588235294118,22.176470588235293,17.705882352941178
12,BEL,0.4117647058823529,4.352941176470588,2.2941176470588234
13,BEN,6.235294117647059,20.764705882352942,16.235294117647058
14,BFA,6.764705882352941,13.470588235294118,11.705882352941176
15,BGD,6.882352941176471,30.941176470588236,18.176470588235293
16,BGR,6.352941176470588,30.0,19.11764705882353
17,BHR,0.5294117647058824,4.764705882352941,3.1176470588235294
18,BHS,13.529411764705882,19.41176470588235,16.294117647058822
19,BIH,4.705882352941177,11.705882352941176,7.0588235294117645
20,BLR,4.294117647058823,12.705882352941176,9.235294117647058
21,BLZ,3.6470588235294117,16.470588235294116,8.470588235294118
22,BOL,6.411764705882353,25.235294117647058,16.58823529411765
23,BRA,2.2941176470588234,18.0,10.058823529411764
24,BRB,0.35294117647058826,7.882352941176471,2.9411764705882355
25,BRN,1.8823529411764706,7.764705882352941,5.235294117647059
26,BTN,5.823529411764706,30.764705882352942,18.58823529411765
27,BWA,6.0,13.647058823529411,9.588235294117647
28,CAF,7.0,17.764705882352942,14.588235294117647
29,CAN,0.058823529411764705,4.588235294117647,1.8235294117647058
30,CHE,0.8235294117647058,3.588235294117647,1.4705882352941178
31,CHL,1.7647058823529411,10.588235294117647,5.470588235294118
32,CHN,9.470588235294118,20.764705882352942,14.705882352941176
33,CIV,7.0,16.41176470588235,12.823529411764707
34,CMR,7.0,20.764705882352942,17.11764705882353
35,COD,7.0,16.764705882352942,13.882352941176471
36,COG,6.588235294117647,21.235294117647058,16.235294117647058
37,COK,1.6470588235294117,21.470588235294116,11.470588235294118
38,COL,4.0,18.294117647058822,10.411764705882353
39,COM,6.882352941176471,29.41176470588235,19.764705882352942
40,CPV,4.764705882352941,22.941176470588236,14.647058823529411
41,CRI,3.0,10.235294117647058,5.529411764705882
42,CUB,9.0,11.764705882352942,10.470588235294118
43,CYP,0.0,3.7058823529411766,1.8823529411764706
44,CZE,2.0,9.411764705882353,5.647058823529412
45,DEU,0.11764705882352941,4.176470588235294,2.0588235294117645
46,DJI,6.294117647058823,25.0,16.235294117647058
47,DMA,1.4705882352941178,14.411764705882353,5.117647058823529
48,DNK,0.29411764705882354,3.823529411764706,1.5294117647058822
49,DOM,5.705882352941177,23.294117647058822,12.058823529411764
50,DZA,5.0,26.235294117647058,13.764705882352942
51,ECU,3.0,24.352941176470587,13.058823529411764
52,EGY,5.294117647058823,23.941176470588236,13.882352941176471
53,ERI,7.294117647058823,28.941176470588236,21.0
54,ESP,0.8823529411764706,3.7058823529411766,2.2941176470588234
55,EST,2.235294117647059,6.764705882352941,4.470588235294118
56,ETH,8.647058823529411,27.058823529411764,19.470588235294116
57,FIN,1.411764705882353,4.294117647058823,2.588235294117647
58,FJI,5.0,18.235294117647058,12.235294117647058
59,FRA,0.0,2.7058823529411766,1.411764705882353
60,FSM,6.117647058823529,25.941176470588236,16.58823529411765
61,GAB,6.529411764705882,18.235294117647058,13.647058823529411
62,GBR,1.2941176470588236,7.411764705882353,3.9411764705882355
63,GEO,6.764705882352941,17.529411764705884,10.470588235294118
64,GHA,7.0,17.0,12.705882352941176
65,GIN,7.0,19.941176470588236,16.11764705882353
66,GMB,7.0,21.941176470588236,15.823529411764707
67,GNB,7.117647058823529,24.647058823529413,17.88235294117647
68,GNQ,7.0,19.11764705882353,15.058823529411764
69,GRC,0.7058823529411765,9.882352941176471,4.705882352941177
70,GRD,2.411764705882353,11.647058823529411,6.882352941176471
71,GTM,6.529411764705882,29.352941176470587,18.941176470588236
72,GUY,3.2941176470588234,13.352941176470589,7.352941176470588
73,Global,6.705882352941177,24.352941176470587,16.705882352941178
74,HND,4.117647058823529,21.647058823529413,12.470588235294118
75,HRV,2.5294117647058822,5.352941176470588,3.588235294117647
76,HTI,7.235294117647059,30.176470588235293,22.235294117647058
77,HUN,2.176470588235294,9.235294117647058,5.352941176470588
78,IDN,6.0,27.764705882352942,17.176470588235293
79,IND,5.9411764705882355,30.235294117647058,17.352941176470587
80,IRL,0.35294117647058826,4.352941176470588,2.1176470588235294
81,IRN,5.0,29.470588235294116,14.588235294117647
82,IRQ,6.0,30.294117647058822,16.470588235294116
83,ISL,0.0,0.8823529411764706,0.4117647058823529
84,ISR,0.29411764705882354,3.2941176470588234,1.9411764705882353
85,ITA,0.29411764705882354,2.9411764705882355,1.2941176470588236
86,JAM,2.4705882352941178,6.0,3.5294117647058822
87,JOR,4.0,18.705882352941178,9.529411764705882
88,JPN,1.411764705882353,9.294117647058824,6.588235294117647
89,KAZ,5.0,25.764705882352942,15.176470588235293
90,KEN,7.411764705882353,20.705882352941178,15.411764705882353
91,KGZ,5.470588235294118,47.76470588235294,25.88235294117647
92,KHM,6.352941176470588,30.176470588235293,19.647058823529413
93,KIR,6.294117647058823,27.58823529411765,19.0
94,KNA,1.6470588235294117,3.8823529411764706,2.411764705882353
